#{"t_start": 1530713429.4165452, "env_id": "Humanoid-v2"}
r,l,t
418.356247,93,139.036463
392.498461,76,139.138583
280.033266,62,139.223406
423.340509,92,139.351053
279.289367,59,139.432758
415.901096,78,139.539032
425.680169,81,139.648253
364.336962,76,139.750298
348.31407,81,139.859639
524.655561,111,140.010431
508.406327,98,140.186119
509.385456,110,140.361955
468.391022,111,140.540845
496.805118,102,140.703711
314.429406,69,140.821003
348.745798,69,140.918584
462.937709,85,141.047581
318.051306,67,141.158185
309.018101,66,144.37132
452.071589,99,144.537681
399.743664,82,144.669762
682.23204,143,144.900046
369.374834,90,145.035029
558.971311,120,145.214012
310.913524,60,145.315388
300.455854,70,145.422016
366.720771,73,145.522806
372.940022,78,145.636282
484.264972,97,145.785138
331.82611,63,145.881476
498.860835,102,146.051754
381.497577,81,146.181512
254.568994,55,146.268868
313.733576,59,146.372785
790.436982,170,146.648112
352.845886,80,146.772012
355.832293,69,146.879494
474.329204,92,147.024169
353.067578,69,147.127383
347.695439,63,147.216836
300.066517,57,147.327812
412.905047,81,147.474093
471.57223,98,150.361089
250.556396,49,150.441812
381.789946,72,150.551564
597.68476,115,150.776758
338.055734,65,150.883113
447.542867,94,151.020327
457.870013,91,151.189335
369.392418,70,151.296108
206.831152,47,151.362524
447.470522,86,151.510602
343.414932,75,151.651117
445.530329,97,151.813581
317.261177,61,151.919112
624.490345,126,152.120522
250.817693,52,152.21386
430.307415,82,152.358597
325.95259,63,152.465652
324.946753,69,152.564269
436.230485,82,152.695235
450.922324,93,152.848464
376.791757,72,152.958999
580.73431,124,153.150496
417.309043,90,153.314699
486.977379,107,153.482186
572.664376,126,153.722071
415.242239,78,156.508058
303.667985,69,156.617754
463.72229,90,156.765073
382.767624,80,156.8909
409.846798,83,157.015957
387.867964,74,157.121729
360.034381,68,157.217342
285.917871,57,157.300105
324.497503,64,157.395895
608.032639,133,157.612723
440.93452,93,157.744866
308.757747,70,157.855745
353.011116,81,157.984799
315.647594,61,158.082157
406.398974,81,158.202688
336.129431,75,158.309803
465.254177,107,158.482047
451.194854,86,158.618777
513.925098,104,158.771499
450.312043,96,158.943192
498.020807,98,159.105029
466.9379,88,159.237625
477.137408,95,159.403255
553.933037,114,159.615655
523.452622,100,162.471805
512.076693,103,162.658275
411.721359,90,162.826036
315.43268,59,162.914734
468.067681,90,163.057703
348.031901,74,163.168916
401.278685,82,163.303587
430.300232,79,163.417819
367.935395,72,163.527282
314.886895,70,163.631265
312.681653,62,163.726827
386.971009,76,163.834248
332.612045,65,163.934302
390.686628,74,164.037592
694.020771,138,164.25831
621.520012,140,164.467149
405.035411,76,164.573482
443.442691,97,164.74337
474.622449,110,164.916127
477.759285,102,165.085404
299.473105,64,165.180189
360.341708,71,165.278747
485.355611,96,165.424054
375.066669,73,165.554868
438.166979,82,168.185691
390.291724,79,168.349015
533.242927,114,168.534953
544.581069,105,168.715885
