#{"env_id": "Humanoid-v2", "t_start": 1530713429.5316768}
r,l,t
427.461684,86,120.509129
377.631622,72,120.626254
300.394536,58,120.716534
323.374348,62,120.810268
373.601602,73,120.934947
291.958461,67,121.063881
298.909611,59,121.186436
366.090278,71,121.30445
315.474033,63,121.446913
314.319417,64,121.563697
450.949436,90,121.721569
404.153344,83,121.87553
412.06463,79,122.045752
423.819088,90,122.211918
434.014702,89,122.355267
522.252417,102,122.557214
306.411647,71,122.669591
306.081389,67,122.802713
409.994675,80,122.947309
364.048691,83,123.098138
348.552749,71,123.227205
238.511496,48,123.326874
358.60577,81,123.49046
403.152096,89,123.634864
419.233038,85,123.787722
491.259305,91,123.973542
470.211419,96,126.344605
462.11143,95,126.504011
397.377363,75,126.609072
411.155639,89,126.760255
372.722461,72,126.881267
328.072054,64,126.977959
703.166672,149,127.217441
311.670224,63,127.319488
427.882652,86,127.475201
604.313416,130,127.697729
648.797645,124,127.920255
511.975982,99,128.09308
402.780554,81,128.230396
536.103273,106,128.396334
317.523819,71,128.511489
263.896874,52,128.593847
348.70259,76,128.722405
377.869758,71,128.837955
469.864062,105,129.035828
348.168961,66,129.147406
271.120222,58,129.264792
584.29048,107,129.497871
268.560502,60,129.628479
310.796688,63,129.73476
306.922177,70,129.862236
429.361411,84,132.403587
306.243428,64,132.527588
309.765996,59,132.632405
517.250365,96,132.78799
470.155227,91,132.962644
503.156479,98,133.133458
477.520387,97,133.331708
339.652607,67,133.479011
525.031261,99,133.629926
245.221868,55,133.724483
356.247836,71,133.839413
318.995251,75,133.951732
253.76853,57,134.049618
370.769733,72,134.20316
361.179364,72,134.333931
382.866209,80,134.460499
514.347922,113,134.697336
435.931922,83,134.846122
384.5238,73,135.009527
825.120734,170,135.273952
307.510625,63,135.361312
254.626057,52,135.434438
364.911794,76,135.54136
534.075609,117,135.704754
381.158065,75,138.161879
458.194424,88,138.318502
296.856616,71,138.46905
368.657604,73,138.597066
437.163246,88,138.769297
305.269093,70,138.910128
236.913712,52,139.005013
290.660123,58,139.111796
325.631988,74,139.237814
329.738782,64,139.35667
458.257291,107,139.551452
343.146235,68,139.673924
420.962825,84,139.831008
478.689985,96,139.999322
654.17321,141,140.225876
338.132486,75,140.376488
349.336235,68,140.492514
340.745565,69,140.612215
376.496823,72,140.717832
679.507189,135,140.924735
442.544018,87,141.059893
792.996832,177,141.3723
601.373533,129,141.616617
413.667303,78,141.766718
529.603788,101,144.424107
412.082465,90,144.605342
703.012348,143,144.853064
390.728209,76,144.97154
402.760237,79,145.101575
410.220752,79,145.262391
433.417021,87,145.417631
329.524147,64,145.523825
377.858508,74,145.672108
385.663112,86,145.806179
300.13195,65,145.916726
335.612361,66,146.026037
413.419956,84,146.197884
338.576927,67,146.345693
448.236135,96,146.542057
567.191636,124,146.796349
346.720545,69,146.929126
437.169822,84,147.085284
353.258464,77,147.23001
351.266273,68,147.353966
381.196263,85,147.496581
468.125048,91,147.69479
382.38929,81,147.825256
437.213294,83,147.960116
529.15999,113,150.340336
363.928211,68,150.493103
736.10312,153,150.776103
378.743452,76,150.894927
320.235161,65,151.018552
313.370212,62,151.152207
439.706393,89,151.286564
578.138695,125,151.485787
481.791129,97,151.642788
484.595348,94,151.8098
608.170614,131,152.060714
318.448537,65,152.176893
403.120904,83,152.328239
297.905916,60,152.451717
302.377278,63,152.565834
590.370827,127,152.797213
451.011351,83,152.95221
540.010455,105,153.161405
758.415343,153,153.460549
370.4852,80,153.587922
242.010682,48,153.689394
322.414491,61,153.797606
294.837623,65,153.898246
389.875619,74,156.392667
281.702204,56,156.495969
376.991108,83,156.63398
310.939451,67,156.73506
315.289732,76,156.851068
346.245411,68,156.963905
329.031381,62,157.075785
387.262354,71,157.229637
375.97958,84,157.377929
489.195584,97,157.534578
502.263634,102,157.716552
513.865817,105,157.873937
351.84784,67,157.982817
667.411006,132,158.227633
475.830093,109,158.466462
758.653083,158,158.794006
547.081468,125,159.022271
364.187212,69,159.156767
710.001542,140,159.440166
326.545082,73,159.549891
416.69168,80,159.676192
518.113441,104,159.830742
439.176871,94,162.258475
473.714704,96,162.397232
499.25387,96,162.606663
489.513685,111,162.770067
372.083667,72,162.884815
494.876821,93,163.031132
391.659602,77,163.161564
408.048205,75,163.285169
373.182021,73,163.411651
341.620922,68,163.527919
358.690103,77,163.66837
409.996335,76,163.811573
471.614461,94,163.988903
583.372945,127,164.18192
284.120838,64,164.294977
345.997057,67,164.438821
427.526774,83,164.579425
503.651386,103,164.768172
296.353438,59,164.875594
464.938718,98,165.03476
403.638407,80,165.155018
313.875132,64,165.250752
241.39019,51,165.34021
346.332577,65,165.44734
436.674878,85,165.592585
548.294299,109,168.008828
466.243023,90,168.205729
408.14922,79,168.330192
475.959476,97,168.483159
366.115071,83,168.633473
432.139905,78,168.752306
428.329223,79,168.874848
324.102201,62,168.968932
560.976474,113,169.167487
294.532323,57,169.278437
369.829945,84,169.451277
317.929315,73,169.59584
376.911627,72,169.726164
405.588069,91,169.905239
444.781286,85,170.033407
371.920488,76,170.155043
367.193624,77,170.272334
395.368187,76,170.408819
295.78096,67,170.523115
343.830824,66,170.668027
371.448193,72,170.830489
513.483272,99,171.013252
342.208321,76,171.141638
738.797247,156,171.405627
257.737029,60,171.521657
372.82904,83,174.211284
276.043923,55,174.325614
310.371097,68,174.473696
482.613275,97,174.628925
514.647952,104,174.803017
408.517614,77,174.920697
363.943705,81,175.047867
273.933202,60,175.147466
369.661491,81,175.271343
227.798247,51,175.352205
387.035968,85,175.485644
390.090268,77,175.605807
451.299779,89,175.775343
357.486302,79,175.944838
356.834972,66,176.050944
317.603042,71,176.152363
439.646592,88,176.29729
438.937948,101,176.48551
449.92306,87,176.645084
390.310127,78,176.811882
339.986696,77,176.940101
622.543194,134,177.17301
472.73784,96,177.368669
526.691009,106,177.539169
479.223843,105,177.727497
450.305711,94,180.153085
365.080567,79,180.28192
380.246993,74,180.397025
436.979795,88,180.539726
664.056609,128,180.735884
381.093164,80,180.861921
338.387177,67,180.970966
309.983461,62,181.082702
503.783602,98,181.238645
340.106423,64,181.340776
705.03878,144,181.555348
684.807611,137,181.801735
814.246342,180,182.16916
416.942115,78,182.300716
652.99318,130,182.549514
